geoid,avg_vac_r
06001403502,1059.63
06001406100,754.06
06001404400,1983.56
06001404502,1917.8
06001404700,1467.0
06001407400,1157.67
06001400400,1219.0
06001402600,648.1
06001407200,1576.06
06001406202,1017.77
06001403701,774.7
06001405902,1791.54
06001400600,2355.0
06001403100,212.63
06001404101,1861.08
06001406601,2289.0
06001402400,817.75
06001404800,1708.0
06001406602,2173.0
06001400200,2355.0
06001405700,178.47
06001406400,337.21
06001404102,1964.67
06001405500,692.13
06001406900,295.71
06001404300,2124.0
06001405402,531.93
06001401600,759.12
06001406300,735.05
06001406800,1423.71
06001403400,1504.72
06001406000,1570.86
06001406700,1459.0
06001403702,1674.04
06001407300,526.5
06001402900,626.03
06001400300,1803.29
06001407500,1387.58
06001404200,626.5
06001401500,274.44
06001403900,1561.67
06001405800,542.67
06001406201,1461.16
06001401200,126.0
06001404000,2095.39
06001401700,779.69
06001405401,853.12
06001405901,996.76
06001401100,355.86
06001400500,599.0
06001401400,1217.54
06001407800,385.9
06001403000,1575.88
06001404501,2099.5
06001405600,919.26
06001407700,495.55
06001403600,1173.69
06001400100,1252.0
06001400800,566.78
06001407101,1011.29
06001408000,155.44
06001402500,1268.42
06001403800,1845.59
06001405200,1440.1
06001400700,1136.08
06001403501,872.55
06001402800,422.28
06001407600,312.19
06001400900,965.67
06001405000,2236.43
06001405301,316.27
06001402700,994.56
06001407000,353.37
06001401800,908.31
06001406500,444.0
06001405100,2096.0
06001407900,167.3
06001401000,1168.36
06001405302,566.71
06001404900,2123.6
06001407102,355.5
06001401300,1179.47
06001402200,1032.69
06001403300,1250.91
06001404600,1878.67
06001404400,1869.8
06001404700,959.6
06001400400,896.33
06001407200,1754.19
06001405700,269.47
06001405500,821.22
06001406900,370.64
06001407800,476.9
06001401400,1150.47
06001400500,690.0
06001403000,1666.88
06001404501,2190.5
06001402700,1119.42
06001405302,659.18
06001401000,1226.82
06001401300,1211.1
06001403300,1400.55
06001402200,1151.54
06001407700,507.58
06001400100,1775.0
06001407101,1102.29
06001400800,627.53
06001403501,928.33
06001402800,526.19
06001405200,1438.84
06001400700,1213.71
06001403800,1929.59
06001407600,408.68
06001400900,1010.93
06001405000,2321.16
06001404502,2008.8
06001406100,845.06
06001407400,1248.67
06001403502,1301.14
06001402600,739.1
06001404101,1813.57
06001406202,1017.43
06001403701,951.11
06001405902,1839.19
06001403100,309.13
06001404800,1799.0
06001402400,883.41
06001400200,2446.0
06001404102,1546.75
06001406400,411.64
06001404300,2215.0
06001403702,1906.87
06001402900,746.81
06001407300,655.6
06001406800,1334.0
06001401500,395.5
06001403900,1530.85
06001401600,803.49
06001404000,2186.39
06001405800,659.87
06001405901,1162.18
06001401100,467.67
06001405401,956.71
06001407000,444.37
06001407900,273.0
06001406500,413.0
06001405301,403.88
06001405100,1483.33
06001404900,2021.45
06001401800,948.13
06001404600,1008.83
06001407102,420.15
06001405600,1075.04
06001403600,1264.69
06001408000,246.44
06001402500,1256.38
06001400600,2446.0
06001406602,1887.67
06001406601,2380.0
06001400300,1775.06
06001403400,1661.67
06001404200,1285.5
06001407500,1478.58
06001406300,791.32
06001406000,1661.86
06001405402,665.52
06001406700,1550.0
06001401200,127.25
06001406201,1535.84
06001401700,686.74
06001404700,1057.6
06001400400,504.83
06001404400,1797.09
06001407200,1852.19
06001405500,847.2
06001405700,336.5
06001406900,476.15
06001407800,597.56
06001401400,1248.47
06001400500,536.67
06001403000,1572.81
06001404501,2288.5
06001405302,735.57
06001401000,1332.27
06001402700,1204.25
06001401300,1233.0
06001403300,1537.13
06001402200,1290.32
06001407700,626.91
06001400100,1873.0
06001407101,1200.29
06001400800,621.62
06001400700,1301.7
06001403800,2027.59
06001405200,1574.45
06001402800,679.93
06001403501,1005.03
06001400900,1108.93
06001407600,506.68
06001405000,2493.82
06001406100,976.71
06001407400,1346.67
06001404502,2106.8
06001403502,1584.5
06001402600,837.1
06001406202,1046.6
06001405902,1810.03
06001403701,1049.11
06001404101,1829.42
06001403100,408.93
06001404800,1789.17
06001402400,1033.67
06001400200,2544.0
06001406400,531.42
06001404102,1644.75
06001404300,2313.0
06001407300,633.67
06001403900,1514.93
06001406800,1432.0
06001403702,2004.87
06001402900,889.58
06001401600,879.14
06001401500,493.5
06001404000,2219.03
06001405800,402.86
06001405901,1320.88
06001405401,852.33
06001401100,614.4
06001405301,493.53
06001407900,371.0
06001401800,1081.07
06001404900,2105.45
06001406500,511.0
06001407000,542.37
06001405100,1191.0
06001407102,491.69
06001404600,1306.0
06001403600,1351.31
06001405600,1155.79
06001408000,344.44
06001402500,1260.07
06001400600,2544.0
06001406601,2478.0
06001406602,2362.0
06001406000,1463.53
06001406700,1648.0
06001403400,1745.8
06001406300,868.09
06001400300,1949.5
06001404200,2544.0
06001405402,1068.41
06001407500,1648.67
06001406201,1633.84
06001401700,748.05
06001401200,195.33
06001404700,959.17
06001400400,1086.33
06001404400,1737.5
06001407200,1944.19
06001406300,948.77
06001406000,1555.53
06001403400,1836.09
06001405402,1160.41
06001406700,1740.0
06001400300,1922.59
06001407500,1719.61
06001404200,2636.0
06001406201,1582.11
06001401700,801.0
06001401200,220.5
06001401400,1340.47
06001407800,689.56
06001400500,880.0
06001403000,1664.81
06001404501,1596.33
06001405302,841.07
06001401000,1451.73
06001402700,1332.48
06001402200,1353.39
06001403300,1604.11
06001401300,1265.09
06001407700,660.27
06001400100,1965.0
06001407101,1292.29
06001400800,699.95
06001400700,1283.88
06001402800,771.93
06001403501,1081.6
06001403800,1902.0
06001405200,1666.45
06001400900,1200.93
06001407600,578.08
06001405000,2585.82
06001407400,1404.17
06001406100,1068.71
06001403502,1439.86
06001404502,2198.8
06001402600,980.89
06001406202,1138.6
06001403100,485.67
06001405902,1902.03
06001404101,2080.42
06001403701,1141.11
06001404800,1413.5
06001402400,1079.65
06001400200,2636.0
06001406400,596.69
06001404102,1736.75
06001404300,1612.67
06001407300,761.4
06001406800,1360.89
06001401600,920.71
06001401500,521.22
06001403702,2010.67
06001403900,1720.85
06001402900,997.78
06001405800,490.28
06001404000,2245.4
06001405901,1458.88
06001405401,978.78
06001401100,507.57
06001404900,2008.5
06001405301,491.58
06001406500,603.0
06001401800,1186.36
06001405100,585.56
06001407000,650.32
06001407900,333.71
06001407102,615.82
06001404600,1398.0
06001405600,1247.79
06001403600,1359.59
06001408000,395.6
06001402500,1352.07
06001400600,2636.0
06001406601,2570.0
06001406602,2454.0
06001405500,947.13
06001405700,428.5
06001406900,528.57
